0001831A	69AEC3BB
00018381	759D2649
00018833	7570AD66
00018A6E	752FF638
00018A6E	7625FF00
00018A6E	7729756A
00018A6E	7AF4F293
00018C0A	5FB95628
00018C91	7D6A76C2
00018E4A	47ED4702
00018FB4	7707EC49
0001922F	7F7B2AB5
000197B2	776462A6
000197B2	8552DE17
00019983	59A718CD
00019C42	7EB75A91
00019D44	7FECB333
00019D44	81464BEF
0001A41E	77058409
0001A41E	7840DA4B
0001A41E	7FF23468
0001A46A	716D0584
0001A46A	755EE934
0001A46A	76B1B89F
0001A4F6	7DCA7AA5
0001A60A	5AB2C41A
0001A60A	7B1B7E9C
0001A60A	805D55E3
0001A60A	814DA1D3
0001A766	80E33107
0001A983	61447D62
0001AAB0	8141277C
0001AB25	750ED184
0001AB25	787AA999
0001AFEC	7BD83204
0001B055	7E3B9772
0001B11C	7C946156
0001B8A2	7C81DA39
0001B8D4	7F1AE6EF
0001B8F9	78977DE1
0001B8F9	7BE8A750
0001B94B	7DE65192
0001BB59	750ED572
0001BEF2	7AB37CA4
0001C023	7CA99FDA
0001C0B5	80EDCD90
0001C1F7	76605474
0001C1F7	80D2010E
0001CAB5	7F9F7C8D
0001CC89	7C06ADA8
0001CCA7	5A096089
0001CCA7	80935DB9
0001D086	7874041A
0001D086	7CD57912
0001D086	8073B792
0001D162	7628419C
0001D162	7EC66396
0001D617	79226C79
0001DE50	7CFEDA0C
0001DE99	77F1576D
0001DF69	7C1FFFCC
0001ECF4	7604988F
0001ED4F	7EE5BF07
0001F07F	5844701B
0001F518	5BB7F25C
0001FB7D	5C891DEC
0001FB7D	5E3EE755
0001FB7D	753FB245
0001FB7D	759AF2C8
0001FB7D	7C0471EB
0001FB7D	7EBA3BC8
0001FB7F	75FFBE61
0001FB7F	8122BC5F
0001FBC1	793EB662
0002023B	782BB77B
0002023B	7FC9B058
000204B9	0AE19289
000204C7	753CD22E
000204CB	807BF86F
0002061C	7B3640ED
0002061C	7FC0320C
00020913	252412C7
00020D1E	7A792156
00020E58	763EAC0C
00020E58	788900C3
00020E58	7B2D3DAB
000215B5	7E39B532
00021740	7966FCAA
00021740	79A44B8E
00021740	7F387370
00021740	7F9C3AFF
00021740	8052C2A0
00021D10	7604E9A2
00021D10	77F78A29
00021D10	7B499AB4
00021D10	7F209ECA
00022114	77866083
00022114	7C5C8098
000222A2	7CA4E672
00022881	149D4145
00022881	7C5074BE
00022A81	75DF1EBD
00022EE8	79699CE6
00023056	065A3E45
00023056	7946AC1E
00023183	79AA9C1B
00023240	22DB8621
00023240	7B3D9D05
00023240	7DBFBD6C
000232CC	58C143E5
000232CC	7842954F
000234FE	7EB61999
000235DF	76C48FF7
000235DF	8142E0C4
000236CC	7DC2BCE0
000238B3	752EB85E
000238B3	7A7F83B6
00023C92	59A7B917
00023C92	778F1DF5
00023C92	7E833BC0
00023E1D	78708893
00023FB7	78820316
00023FB7	7ADC740F
000240B0	75E37601
00024513	781312A8
00024513	7998BE73
000249DC	069E947D
00024C15	785D36A3
00024C15	7E009985
00024CAD	76791E05
00024CAD	77062648
00024CAD	7A5CDBB5
00024F03	77F2E826
00024F03	7C7CA20F
00024F03	7DB586AF
